labels,text,emotion,probs_synonyms
anger,When my roommate's moped was stolen I was very angry. ,anger,"[0.9979938268661499, 0.8884924054145813, 0.9876667261123657, 0.9814313650131226, 0.9713581204414368, 0.9951193332672119]"
sadness,When I heard my grandfather's wife had leukemia I was very sad. ,sadness,"[0.9981753826141357, 0.9975957274436951, 0.9960076808929443, 0.9976544976234436, 0.6988173127174377, 0.9803600907325745]"
disgust,I was disgusted to find out that the water isn't filtered or purified before it leaves Latimer Hall from the drains. ,sadness,"[0.9980097413063049, 0.992440938949585, 0.9462447166442871, 0.9697949290275574, 0.9962098598480225, 0.995590090751648]"
shame,The same for guilt would apply. ,guilt,"[0.05491691455245018, 0.011570265516638756, 0.01164808589965105, 0.06177791208028793, 0.04985802248120308, 0.024510178714990616]"
guilt,I added a little ? to a yield in an experiment to get more of a yield. ,joy,"[0.5054418444633484, 0.8463388085365295, 0.8822147846221924, 0.5239800214767456, 0.5815064311027527, 0.25937384366989136]"
joy,Third highest grade in the class and the best answer given for one question (the question was graded by the professor and he indicated he liked my answer). ,guilt,"[0.56119304895401, 0.7106392979621887, 0.9021143317222595, 0.5918514132499695, 0.6264610886573792, 0.4215743839740753]"
fear,"In the recent lightning storm, bolts of lightning were hitting close by (/ mile). I was in bed at the time and was afraid I might be struck. ",fear,"[0.9952735304832458, 0.9698408246040344, 0.9897342920303345, 0.9840366244316101, 0.9849207997322083, 0.9946660995483398]"
anger,We are repainting rooms in my house. My mother started to enact plans to paint my room without consulting me. ,guilt,"[0.36652687191963196, 0.5159871578216553, 0.21322695910930634, 0.25888678431510925, 0.22107070684432983, 0.5710709095001221]"
sadness,Recent break-up with my girlfriend. We had been together for over a year. I was overseas and discovered over the phone (while I was at work). ,sadness,"[0.9417789578437805, 0.9644051194190979, 0.8540674448013306, 0.8863648176193237, 0.8743974566459656, 0.6760182976722717]"
disgust,I attended a ceremony in Denmark which is comparable to our Halloween. They build a large bonfire and place a life size dummy of a witch. The crowd cheered when the dummy burst into flames. ,guilt,"[0.0059019275940954685, 0.1469031125307083, 0.01248245034366846, 0.26476871967315674, 0.012072396464645863, 0.012257878668606281]"
shame,I came home from school very keyed up. At the dinner table I unfortunately unloaded a lot of my hostility off on one of my parents. I'm ashamed that I didn't dispate and control these feelings before coming to the table or even let the energy build up in the first place. ,shame,"[0.9978893399238586, 0.9926401972770691, 0.9965770840644836, 0.9569047689437866, 0.9840446710586548, 0.9844878315925598]"
guilt,Eating the last remains of dinner that someone else (unknown to me) had claimed. ,guilt,"[0.8864994049072266, 0.957321047782898, 0.9455043077468872, 0.7498396635055542, 0.9286994934082031, 0.8790704607963562]"
joy,"After watching the ers lose game after game, year after year, I was finally rewarded with a Super Bowl victory which made me extremely happy. ",joy,"[0.9938414096832275, 0.9354868531227112, 0.9935426712036133, 0.8629380464553833, 0.9982101917266846, 0.783367395401001]"
fear,"While swimming, I hit my head at the bottom of the pool and required stitches. I later learned that the consequences could have been much more severe and that terrified me. ",fear,"[0.9953317046165466, 0.9864622950553894, 0.9836132526397705, 0.9959490299224854, 0.9810219407081604, 0.994030773639679]"
anger,"I was rushing home from school because there was a er game that night. I got into a non-injury accident, which was all my fault, but destroyed the front of my car. The truck I hit was undamaged. ",guilt,"[0.5444019436836243, 0.7249393463134766, 0.3584459125995636, 0.3924756646156311, 0.3578512966632843, 0.7587312459945679]"
sadness,When I learned that my dad had cancer. I knew he was going to the hospital for some tests. My mom told me when she picked me up one weekend from CAL to take me home. ,sadness,"[0.8420699834823608, 0.8461758494377136, 0.7666027545928955, 0.7801855206489563, 0.54056316614151, 0.49540337920188904]"
disgust,"Now that the ers are winners, the fans are coming out of the woodwork and jumping on the bandwagon and that disgusts me. ",sadness,"[0.9982218146324158, 0.9914118051528931, 0.9187014698982239, 0.916706919670105, 0.996860146522522, 0.9968724846839905]"
shame,"When I was small, I would always fight with my younger sister and one time I hit her and knocked the wind out of her. I felt real bad about it. ",guilt,"[0.9418541789054871, 0.8317260146141052, 0.7866000533103943, 0.8450781106948853, 0.8795987367630005, 0.8135374784469604]"
guilt,When my grandfather was in a nursing home when I was young I never wanted to go and sometimes didn't have to and later I felt guilty. ,guilt,"[0.9954307079315186, 0.9748471975326538, 0.9622376561164856, 0.5274980664253235, 0.8308279514312744, 0.9845221042633057]"
joy,I felt joy when my boyfriend proposed to me in marriage. ,joy,"[0.9990824460983276, 0.714489221572876, 0.9947104454040527, 0.907886803150177, 0.9952817559242249, 0.9298652410507202]"
fear,I felt fear when I was young and left in my big house all alone. ,fear,"[0.9984082579612732, 0.6916855573654175, 0.7999637722969055, 0.9470379948616028, 0.9448932409286499, 0.9948527216911316]"
anger,"After I said something that my boyfriend disagreed with, he walked away from me without discussing what bothered him. I became very angry with him for treating me this way. Yesterday, November . ",anger,"[0.9970242381095886, 0.06531153619289398, 0.9613583087921143, 0.9214513897895813, 0.9668174386024475, 0.8939464688301086]"
sadness,I felt sad when my boyfriend and I were apart for some time. ,sadness,"[0.9990273714065552, 0.997111439704895, 0.9451806545257568, 0.996354341506958, 0.9581180214881897, 0.7330032587051392]"
disgust,I felt disgusted when I was in a restaurant which didn't appear to be clean and orderly. (I do not like to be in unclean environments). ,disgust,"[0.9971113204956055, 0.9759776592254639, 0.0964662954211235, 0.9151681661605835, 0.9909588098526001, 0.9927615523338318]"
shame,I felt ashamed when I was confronted by a teaching assistant that a close friend and I were accused of cheating on a math exam. ,shame,"[0.9990143775939941, 0.9971532821655273, 0.9986708164215088, 0.9800083637237549, 0.9845348596572876, 0.9646339416503906]"
guilt,When I did not defend my close friend when my father degraded him. I felt guilty for allowing my father to get away with his actions and for the hurt my friend felt. I cleared the matter up with my father a few weeks later. ,guilt,"[0.997771143913269, 0.9760782718658447, 0.9757453799247742, 0.8655240535736084, 0.7558490037918091, 0.9875338077545166]"
joy,After much trouble getting together in the first place my boyfriend and I celebrated our first anniversary. ,anger,"[0.6547742486000061, 0.5089690685272217, 0.5613238215446472, 0.7914904356002808, 0.9158889651298523, 0.5662155747413635]"
fear,I got caught shoplifting a package of gummy bears. ,shame,"[0.7227535843849182, 0.846503734588623, 0.6652097702026367, 0.7596799731254578, 0.7298446893692017, 0.9217796921730042]"
anger,"Sometimes when I go to work my crazy boss (a hyper Jewish lawyer) insists I do things his way (filing, typing, etc. ). He sometimes blames me for things I didn't do, and I can't yell back at him. ",sadness,"[0.691758930683136, 0.9332056641578674, 0.29513081908226013, 0.3300568461418152, 0.26826050877571106, 0.9621273279190063]"
sadness,Since I moved into the dorms and I've been spending most of my free time with my boyfriend. I hardly see my old high school friends. I had several bad incidents with my past best friends. ,anger,"[0.697378933429718, 0.7886480689048767, 0.5414313673973083, 0.5971287488937378, 0.5844563841819763, 0.43072012066841125]"
disgust,"I took a psych. experiment with a totally unappealing gay man as the experimentor, some homosexuals are funny or cute, but this guy was disgusting. Plus the experiment was about gays too. ",disgust,"[0.8753645420074463, 0.7388108968734741, 0.3180062770843506, 0.6533241868019104, 0.8550077080726624, 0.899148166179657]"
shame,"My grades. When my parents say, ""How are you doing at school, getting good grades ? "" I say, ""Great, just fine ! "" Actually, I feel ashamed about myself. ",shame,"[0.9941279888153076, 0.9905171990394592, 0.9933820962905884, 0.9739251136779785, 0.9676610231399536, 0.9604284763336182]"
guilt,I've had three midterms in the past two weeks and I hardly studied for any of them (like or days) I feel guilty that I hadn't studied and I got C's on all of them. ,disgust,"[0.9989680051803589, 0.9927041530609131, 0.9900150299072266, 0.6445497870445251, 0.865031898021698, 0.988671064376831]"
joy,Winning a close volleyball game. (I'm on the intercollegiate team at CAL) ,joy,"[0.9416470527648926, 0.9668615460395813, 0.9433789849281311, 0.8344483375549316, 0.9510459899902344, 0.7363004684448242]"
fear,Speaking in front of a large group of people. ,guilt,"[0.6642455458641052, 0.26752716302871704, 0.8648520112037659, 0.33392032980918884, 0.648556649684906, 0.34220007061958313]"
anger,Same situation as before - having my car stolen. ,anger,"[0.8979047536849976, 0.8943467140197754, 0.8233029842376709, 0.8200527429580688, 0.8238430619239807, 0.9224141836166382]"
sadness,When a close friend drowned in the American River. ,sadness,"[0.9654588103294373, 0.9659038186073303, 0.9406530857086182, 0.9499402642250061, 0.8865078687667847, 0.8834969401359558]"
disgust,Getting a low grade on my physics midterm. ,shame,"[0.8643490076065063, 0.7720738053321838, 0.9271013736724854, 0.2698342502117157, 0.9774662852287292, 0.7156878113746643]"
shame,Arguing with a friend over politics. She was more informed on the issues and made me feel very ashamed of my political ignorance. ,shame,"[0.9972507357597351, 0.9960172772407532, 0.9970195889472961, 0.9793047308921814, 0.9758720397949219, 0.9591367244720459]"
guilt,When my father's car got stolen from me. (A Ford Mustang - very hard to replace). ,fear,"[0.8470103740692139, 0.7980313897132874, 0.9009528756141663, 0.5463935732841492, 0.882393479347229, 0.9519079327583313]"
joy,Getting sent on a company expense trip to another state to work for a week at that plan. ,guilt,"[0.28249236941337585, 0.3733100891113281, 0.3258933424949646, 0.31520557403564453, 0.5912917852401733, 0.14119988679885864]"
fear,"On my second plane trip, we ran into unexpected turbulence. ",fear,"[0.9042220115661621, 0.7558122277259827, 0.943915069103241, 0.7811996936798096, 0.7938578128814697, 0.9435138702392578]"
anger,Having my personal objects rearranged by someone else without my consent and having it arranged to their taste. Then trying to find a particular object they rearranged for an hour or more. ,anger,"[0.9025356769561768, 0.9745481014251709, 0.7832320332527161, 0.8903828859329224, 0.791249692440033, 0.9763393402099609]"
sadness,Death of my father. ,sadness,"[0.9710346460342407, 0.9245553612709045, 0.9828780889511108, 0.9739221930503845, 0.9308083653450012, 0.9041024446487427]"
disgust,"Getting back my math midterm, I received a lower grade than I thought I would get. After going through the questions I felt that the grader had graded harshly and I had made only a few ? errors. ",disgust,"[0.3953755497932434, 0.25085848569869995, 0.6641699075698853, 0.2892140746116638, 0.9473068714141846, 0.26377788186073303]"
shame,Getting a low grade on a midterm. ,shame,"[0.9349682331085205, 0.945831298828125, 0.9307824373245239, 0.9239379167556763, 0.9716978073120117, 0.9621986746788025]"
guilt,Promising to do a task for a friend and just forgetting about it. ,guilt,"[0.9178397059440613, 0.9720354676246643, 0.8331015706062317, 0.8110830783843994, 0.9291683435440063, 0.9239811897277832]"
joy,When I finished my C. S. Project I was overjoyed. I felt relieved because it was due the next day and I was tired of looking at it. ,joy,"[0.9906511306762695, 0.9353484511375427, 0.985651969909668, 0.8419962525367737, 0.9950290322303772, 0.7284373044967651]"
fear,I overturned in a canoe a few years back and I didn't know how to swim. Although I had a life-jacket on I still panicked. ,fear,"[0.9904351234436035, 0.9644663333892822, 0.9858362674713135, 0.9856891632080078, 0.9645634889602661, 0.9769076108932495]"
anger,I came out of the house at am Monday morning getting ready t go to school and fight for a parking when I saw my car had a flat tire. ,sadness,"[0.8520628213882446, 0.956408679485321, 0.7160281538963318, 0.8509796261787415, 0.7778431177139282, 0.9590825438499451]"
sadness,After my little sister's Graduation from High School my grandmother became very sick. She passed away a few months later. ,sadness,"[0.9858167171478271, 0.9209856390953064, 0.9774938821792603, 0.9809850454330444, 0.9054681062698364, 0.7659955024719238]"
disgust,When I saw a wino by some cans with Food Stamps and use the change to buy wine. ,guilt,"[0.7912582159042358, 0.6825236678123474, 0.6477332711219788, 0.5491111874580383, 0.9009917378425598, 0.7625681161880493]"
shame,I felt this when I was copying homework for one of my classes. ,anger,"[0.4155004918575287, 0.43762677907943726, 0.5205073952674866, 0.3045462965965271, 0.3735877275466919, 0.34825336933135986]"
guilt,"After yelling at my girlfriend, I felt bad because she was ? crying and upset. ",sadness,"[0.9729865193367004, 0.9002532958984375, 0.9295686483383179, 0.3985860049724579, 0.8134104013442993, 0.9864060282707214]"
joy,A party with no worries (i. e. no tests homework etc. ) many friends were present and good music. ,joy,"[0.9742147922515869, 0.2753230631351471, 0.9904099702835083, 0.9188621044158936, 0.9877966046333313, 0.6781882643699646]"
fear,I'm afraid of not being able to go to the school I want because of suffering grades. ,fear,"[0.9990130662918091, 0.7868107557296753, 0.9933688044548035, 0.9714285731315613, 0.9765158295631409, 0.9965254664421082]"
anger,I was stood up for a date function by someone who I really cared for. ,disgust,"[0.9417905211448669, 0.9336236715316772, 0.8393386602401733, 0.9372069835662842, 0.8683570027351379, 0.9592161178588867]"
sadness,"After blowing up and saying all the wrong things, I realized what I had done and hurt that person and myself. ",guilt,"[0.6987139582633972, 0.8138925433158875, 0.6241028904914856, 0.8112335801124573, 0.04703565686941147, 0.05383224040269852]"
disgust,My friends aren't working for the same common goal we all need to accomplish. ,anger,"[0.5312423706054688, 0.33516183495521545, 0.7805215120315552, 0.24853356182575226, 0.7137914299964905, 0.24292920529842377]"
shame,I was supposed to do something and didn't. The person was really dependiong on me. ,guilt,"[0.9041109681129456, 0.8875566124916077, 0.888520359992981, 0.9186592102050781, 0.9495877623558044, 0.8938268423080444]"
guilt,"After confronting the person who stood me up, I blew up and said all the wrong things. ",anger,"[0.8209273219108582, 0.9076295495033264, 0.6753896474838257, 0.9523060917854309, 0.9194391369819641, 0.33480533957481384]"
joy,I realized the girl liked to be with me. ,joy,"[0.8813143372535706, 0.7325243353843689, 0.9783692955970764, 0.7462502717971802, 0.942367434501648, 0.7300477623939514]"
fear,That I would do bad in a class and not get into Bus school. ,fear,"[0.9934172630310059, 0.8613452911376953, 0.9873695969581604, 0.9440151453018188, 0.9659165143966675, 0.9840249419212341]"
anger,When my dad told me about something he had done against my mother. ,guilt,"[0.8597304224967957, 0.8015887141227722, 0.6712883114814758, 0.8079928159713745, 0.704416036605835, 0.8771389722824097]"
sadness,When I heard my sister got in a bad car accident. ,sadness,"[0.9487299919128418, 0.9635797142982483, 0.9495850801467896, 0.9337716102600098, 0.8812416791915894, 0.8045052886009216]"
disgust,An Engineer I know wants war so he can get a job making bombs. ,guilt,"[0.003291747998446226, 0.001723004155792296, 0.7116246223449707, 0.7517547011375427, 0.00600788276642561, 0.0017171294894069433]"
shame,I did bad on a test I didn't study for. ,guilt,"[0.9144498705863953, 0.9229869246482849, 0.9342696070671082, 0.9321094751358032, 0.9399664998054504, 0.9568336009979248]"
guilt,Decided at the last minute not to do something that I said I would do with a person. ,guilt,"[0.889934778213501, 0.923244833946228, 0.7658704519271851, 0.7579568028450012, 0.8269366025924683, 0.9600397944450378]"
joy,When I passed the B. A exams with first class results. ,joy,"[0.9568893909454346, 0.9829104542732239, 0.9731361865997314, 0.891867995262146, 0.9689404964447021, 0.8961618542671204]"
fear,When my B. A results had not come. ,sadness,"[0.7903791069984436, 0.633603036403656, 0.8921151757240295, 0.6239430904388428, 0.8108354806900024, 0.8485641479492188]"
anger,When I failed my S. S. C exam. ,shame,"[0.8162415027618408, 0.9142810106277466, 0.6170287132263184, 0.8344559669494629, 0.7140268087387085, 0.9260731935501099]"
sadness,When my sister left home to go and live with her husband. ,sadness,"[0.9474155902862549, 0.9030075669288635, 0.9413203001022339, 0.934697687625885, 0.9128717184066772, 0.7214255332946777]"
disgust,"I trusted a friend of mine, but she lied to me about something and this disgusted me. ",sadness,"[0.9980009198188782, 0.9915435314178467, 0.9666409492492676, 0.9578491449356079, 0.9960622191429138, 0.9956879019737244]"
shame,When I failed the S. S. C examination I felt very ashamed. ,shame,"[0.9974043965339661, 0.9960862398147583, 0.9954053163528442, 0.9875922799110413, 0.9802715182304382, 0.9649306535720825]"
guilt,[ I felt guilt when I was not co-operative with my mother for my exam. ] ,guilt,"[0.9977352619171143, 0.9874868392944336, 0.9839379191398621, 0.9321432709693909, 0.7539772391319275, 0.574138879776001]"
joy,"My first feeling of falling in love. Coming across a person who made me feel love, happiness, joy, giving me a new and beautiful future, who made me dream. ",guilt,"[0.9840477108955383, 0.8898812532424927, 0.9834686517715454, 0.8894276022911072, 0.9859973192214966, 0.8882052302360535]"
fear,"When I got to know that the friend I am closest to got engaged, and she was going away. I was overjoyed for her, but also felt frightened as I was very emotionally dependent on her. I did not know what I would do without her. ",fear,"[0.9889095425605774, 0.13591422140598297, 0.9672378301620483, 0.9288166165351868, 0.7724422216415405, 0.9755969643592834]"
anger,"I was angry at my brother over an argument we had together. We do have a few fights from time to time, and also at times I take out my anger on him. ",guilt,"[0.9986360669136047, 0.36823558807373047, 0.8783750534057617, 0.7444396615028381, 0.8103305101394653, 0.8289811611175537]"
sadness,When I came to know that my feelings for someone were not reciprocated. ,sadness,"[0.9219615459442139, 0.9387281537055969, 0.7989595532417297, 0.8912891149520874, 0.8446000218391418, 0.6496343612670898]"
disgust,I felt disgusted while studying for my applied psychology and mental testing papers in B. A. ,disgust,"[0.9967249035835266, 0.9836702346801758, 0.4893442392349243, 0.9354392886161804, 0.9844418168067932, 0.9938288331031799]"
shame,"I had a habit of wetting my bed when I was young. One day, when I was invited to my friend's place to stay for the night, it happened again. I was ashamed of myself. ",shame,"[0.9968005418777466, 0.995535135269165, 0.9967502355575562, 0.9903896450996399, 0.9761872291564941, 0.9489930868148804]"
guilt,I felt guilty when I lied to my parents. ,disgust,"[0.9982967972755432, 0.9899010062217712, 0.9845682382583618, 0.8543605208396912, 0.9306011199951172, 0.977680504322052]"
joy,"After my marriage I received the B. Sc results by post, I was very happy to learn that I had got very good marks - first class. ",joy,"[0.9954665899276733, 0.9639220833778381, 0.9956888556480408, 0.8426956534385681, 0.9974014759063721, 0.858676016330719]"
fear,A few weeks back my daughter had very high fever and I was scared that it might lead to brain damage or convulsions. ,fear,"[0.9977086782455444, 0.9621281623840332, 0.9929201006889343, 0.9951944947242737, 0.984109103679657, 0.9971844553947449]"
anger,I felt angry when my mother-in-law did not handle my daughter properly and she fell down from the bed and hurt her head. ,anger,"[0.9986972212791443, 0.7400147914886475, 0.9313819408416748, 0.9478893876075745, 0.9476687908172607, 0.9904819130897522]"
sadness,"I was very sad when I could not take the M. A (I) exams due to illness, and a relative of mine disheartened me about it. ",sadness,"[0.9989105463027954, 0.9935097098350525, 0.9927000403404236, 0.9970781803131104, 0.7020398378372192, 0.9014766216278076]"
disgust,"When my parents-in-law scolded me, without any reason, in front of the other members of my family for the first time. They had called me from my room where I had been studying for my exams. ",sadness,"[0.7671687006950378, 0.5294846892356873, 0.7379521131515503, 0.5354638695716858, 0.9433383345603943, 0.641902506351471]"
shame,"When the teacher asked me a question in class, concerning something I had read earlier, and I did not know the answer, so I felt ashamed in front of the whole class. ",shame,"[0.99736088514328, 0.9941565990447998, 0.9963359832763672, 0.9731426239013672, 0.9640675187110901, 0.9500194191932678]"
guilt,"When my friend failed an exam by just one mark. During this exam she had asked me to show her my answer sheet and I had not done it. When the results came out, I thought that had I shown her my answer sheet she would have passed the exam. I felt guilty as I had failed her. ",guilt,"[0.9980176687240601, 0.9878526926040649, 0.9912671446800232, 0.9213240742683411, 0.9235216975212097, 0.9891741275787354]"
joy,When my family allowed me to do higher studies. ,joy,"[0.8306169509887695, 0.8982110023498535, 0.82245272397995, 0.7266583442687988, 0.9192636609077454, 0.7522091865539551]"
fear,When I decided to separate from my husband. ,guilt,"[0.5328977704048157, 0.15262700617313385, 0.6519030928611755, 0.19706743955612183, 0.3530069887638092, 0.6759940981864929]"
anger,"When my father talks about our relatives and favours them, I feel angry. ",sadness,"[0.9986135959625244, 0.9531039595603943, 0.9137290120124817, 0.9627917408943176, 0.956120491027832, 0.9920923113822937]"
sadness,[ When my elders do not understand me in the right way. ] ,disgust,"[0.8444808125495911, 0.9323235154151917, 0.7282200455665588, 0.7648681402206421, 0.39825522899627686, 0.48598480224609375]"
disgust,When my husband quarrelled with me for no reason at all. ,anger,"[0.4608784019947052, 0.3648701310157776, 0.8856633305549622, 0.531772255897522, 0.924050509929657, 0.5650981664657593]"
joy,"I went for a walk on the beach with a friend whom I had not seen for many months. The weather was very pleasant, we had some ice-cream and lots of fun on the beach. ",joy,"[0.9605656266212463, 0.38169947266578674, 0.991121768951416, 0.8275226354598999, 0.9778445959091187, 0.5412498712539673]"
fear,"That day I was alone at home after coming home from school. I did not know where everyone else had gone, I kept waiting for them to come back and nobody came. It was getting very late and I was terrified. ",fear,"[0.9973847270011902, 0.9926849603652954, 0.9896706938743591, 0.9978581070899963, 0.9897083640098572, 0.9932663440704346]"
anger,I was walking on a street alone in the afternoon when there were not too many people on the street. A couple of guys were following me and I was ignoring them. Suddenly one of them came in front of me and started using dirty language and harrassing me. I got very angry and wanted to strike back at them. ,anger,"[0.9977433681488037, 0.022067895159125328, 0.9945265650749207, 0.9788747429847717, 0.9909511804580688, 0.7739335298538208]"
sadness,A close friend of mine was to get married in a weeks time when her father died of a heart-attack. I knew him well and felt bad on hearing of his death. ,sadness,"[0.9927669763565063, 0.9737966656684875, 0.9650591611862183, 0.9818962812423706, 0.7112635970115662, 0.5301542282104492]"
disgust,"A girl, who is a friend of mine was having an affair with a boy who is also a friend of mine. I got to know that this girl was also seeing another guy. Later on, she just broke off with this friend of mine without giving any explanations. This made him sad and depressed, and I felt disgust for this girl. ",disgust,"[0.9930279850959778, 0.9667004346847534, 0.9332680702209473, 0.8414924144744873, 0.989832878112793, 0.9835018515586853]"
shame,I had always been first in my class and in the preliminary board exams I scored the highest marks. Then the exams were postponed and I neglected my studies as I was confident. However when the final results came out I felt ashamed as I had scored less than % marks and my rank in the class was fifth or sixth. ,shame,"[0.9952475428581238, 0.9926612377166748, 0.9959218502044678, 0.9829211831092834, 0.9713693857192993, 0.9432011246681213]"
guilt,"I went to the cinema with my friends, without telling my mother about it as I had been to the cinema the day before also. When she asked me where I had been, I lied. ",guilt,"[0.899640679359436, 0.9718430638313293, 0.8046501874923706, 0.8717686533927917, 0.9298150539398193, 0.636822521686554]"
joy,When I got permission to study at a place which was far away from my home. ,sadness,"[0.6759531497955322, 0.9203673601150513, 0.7661791443824768, 0.6169830560684204, 0.8165187835693359, 0.5454704165458679]"
fear,I had gone to the hospital for my research and got late in reaching home. I feared that when I reached home there would be a quarrel because of my being late. ,fear,"[0.9982179999351501, 0.7517390251159668, 0.9926073551177979, 0.9735984802246094, 0.988182008266449, 0.9926506876945496]"
anger,[ I feel angry when somebody is unjust to me. ] ,anger,"[0.9981169700622559, 0.00968709122389555, 0.9228113293647766, 0.9794831275939941, 0.948635458946228, 0.44154003262519836]"
sadness,[ I feel sad when somebody is unjust to me. ] ,sadness,"[0.9980961680412292, 0.9934733510017395, 0.982668399810791, 0.9967929720878601, 0.040532466024160385, 0.9509968161582947]"
disgust,When people around me did not understand me the right way. ,disgust,"[0.4254901707172394, 0.2725967466831207, 0.7651019096374512, 0.0919274166226387, 0.7905604243278503, 0.22563104331493378]"
joy,"When I went for a picnic in Lonavala, I felt full of joy. ",joy,"[0.9961479902267456, 0.6969976425170898, 0.9922285676002502, 0.9242682456970215, 0.9943317174911499, 0.9092510342597961]"
fear,When my brother had an epileptic attack and I was scared as to what would happen to him. ,fear,"[0.9971649050712585, 0.9261065125465393, 0.9850719571113586, 0.989753007888794, 0.9731239676475525, 0.996073842048645]"
anger,I was angry this morning when I missed the train to university. ,disgust,"[0.9985539317131042, 0.870712161064148, 0.9673170447349548, 0.9713299870491028, 0.9699446558952332, 0.99126136302948]"
sadness,"When I missed my train this morning, I felt sad for some time. ",sadness,"[0.9978330731391907, 0.9952870607376099, 0.9603073000907898, 0.9944403767585754, 0.858900785446167, 0.6426596641540527]"
disgust,"When I had exams a relative of ours, who lives in another city, came to visit us and I felt disgusted at him. ",disgust,"[0.99516761302948, 0.9855508804321289, 0.8857501745223999, 0.9475982785224915, 0.991940975189209, 0.9915738701820374]"
shame,I felt ashamed when I had not attended a class and the teacher asked me the reason for my absence. ,shame,"[0.9978038668632507, 0.995171844959259, 0.9974850416183472, 0.9706932902336121, 0.9672096967697144, 0.9621798396110535]"
joy,"I acted in an English play in college and got the Best Actress award, while our play got the first place. ",joy,"[0.8247774839401245, 0.6812757849693298, 0.8288363814353943, 0.8250609040260315, 0.8907917141914368, 0.5687143206596375]"
fear,I have done the teachers training course (B. Ed). During our training I was asked to handle the ninth standard class in a boys school. I was scared to face the class the first day. ,fear,"[0.9953954815864563, 0.7845605611801147, 0.9719707369804382, 0.95553058385849, 0.9632859230041504, 0.9952464699745178]"
anger,"I was to meet a friend at the bus-stop (he was coming to visit us) and he did not turn up. After having waited for him for some time (about an hour) I called him up, to be told that he did not intend to come as he was feeling tired. ",sadness,"[0.7859824299812317, 0.9620494842529297, 0.5442104339599609, 0.7851026058197021, 0.6025837659835815, 0.9412994980812073]"
sadness,When my sister died in a fire accident at home. ,sadness,"[0.9806156754493713, 0.9750790596008301, 0.9765159487724304, 0.9775455594062805, 0.9114416241645813, 0.897734522819519]"
disgust,When my husband told me about his pre-marital affairs. ,guilt,"[0.7893772721290588, 0.7158113718032837, 0.6581910252571106, 0.6381378769874573, 0.9054412245750427, 0.7782191634178162]"
shame,When I failed the ninth standard exam in school. ,shame,"[0.889489471912384, 0.902938187122345, 0.8673305511474609, 0.8911417722702026, 0.9268999099731445, 0.945000171661377]"
guilt,"I had gone to see one of our professors about a book, and I did not attend the class she took a few minutes later. ",guilt,"[0.6816622018814087, 0.6728108525276184, 0.8314923048019409, 0.4422799050807953, 0.4164644777774811, 0.7283338308334351]"
joy,"When I passsed the M. S. C board exams with first class, which I had not expected. ",joy,"[0.9306766986846924, 0.9859210848808289, 0.9400778412818909, 0.8365610837936401, 0.948494553565979, 0.820443332195282]"
fear,[ I have always been very scared and tense before an exam and before the declaration of the results. ] ,fear,"[0.9975714087486267, 0.9459222555160522, 0.994817316532135, 0.9945703148841858, 0.9888888001441956, 0.9961397051811218]"
anger,"When my friend promised that she would come to my place, and did not turn up - I was annoyed at her. ",anger,"[0.9719822406768799, 0.9984790682792664, 0.07390816509723663, 0.2295663207769394, 0.05343875288963318, 0.9981757402420044]"
sadness,"[ When someone tells me something that hurts me, I feel bad about it and also feel sad. ] ",sadness,"[0.9918299317359924, 0.9860759377479553, 0.8908203840255737, 0.9873981475830078, 0.10934779793024063, 0.7345911264419556]"
disgust,"I feel disgusted when people do not understand me in the right way, i. e they misunderstand me. ",sadness,"[0.9985658526420593, 0.9948062300682068, 0.6979872584342957, 0.9800776243209839, 0.9957494735717773, 0.9967214465141296]"
shame,"Whenever I am late, I feel ashamed of myself even though no one tells me anything. ",shame,"[0.9973613619804382, 0.9960100650787354, 0.9974236488342285, 0.9894624352455139, 0.9813305735588074, 0.9824272990226746]"
guilt,I felt guilty when I lied to my parents. ,disgust,"[0.9982967972755432, 0.9899010062217712, 0.9845682382583618, 0.8543605208396912, 0.9306011199951172, 0.977680504322052]"
joy,I was very happy when I passed the B. A with first class marks. ,joy,"[0.9974275231361389, 0.9754020571708679, 0.9959877133369446, 0.8152969479560852, 0.9985432624816895, 0.7681127190589905]"
fear,While trying to board a train I missed the footsteps and fell down on the platform. ,shame,"[0.9046638607978821, 0.878727912902832, 0.8497662544250488, 0.8458459377288818, 0.8081386089324951, 0.9674605131149292]"
anger,"I was having an argument with my brother on his behavior, then we started fighting and I got annoyed at him because he started teasing me. ",disgust,"[0.9847410321235657, 0.9981839060783386, 0.5669984221458435, 0.5182781219482422, 0.2906273305416107, 0.9979308843612671]"
sadness,My best friend got married and left her home-town to go and live in Poona. After her wedding I felt sad. ,sadness,"[0.9975937008857727, 0.9950605034828186, 0.9530007243156433, 0.9927104711532593, 0.9551700353622437, 0.7033007740974426]"
disgust,"I feel disgust at my neighbour, because she comes to our house with her child, who spoils our furniture. ",disgust,"[0.9991306662559509, 0.9974381923675537, 0.9572502374649048, 0.9860445261001587, 0.9963712692260742, 0.9984495639801025]"
shame,When I failed the twelveth standard exams I was ashamed at having to see my parents later. ,shame,"[0.9967830181121826, 0.9955167174339294, 0.9969109892845154, 0.9865894317626953, 0.975650429725647, 0.8744048476219177]"
